stop_id,stop_name,stop_lat,stop_lon,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,OSM Node ID,Comments
312,Morsani Center (westbound),28.0661462,-82.4192041,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,454063897,
313,Mofitt Tower (eastbound),28.0660043,-82.4208696,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,798636994,
314,Social Work Center (westbound),28.0661368,-82.4209448,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,798637002,
315,Holly at USF Health Drive,28.0659877,-82.4233507,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,1055308052,
316,Holly at Cypress,28.0661098,-82.4235501,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,824795219,
317,College of Nursing,28.0643901,-82.4238254,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1029714071,
319,Children's Medical Services,28.0660221,-82.4245398,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,824795218,
320,Health Science Clinics (eastbound),28.0656649,-82.424733,FALSE,FALSE,TRUE,No,TRUE,FALSE,FALSE,TRUE,824795217,
325,Laurel Garage (northbound),28.0664358,-82.4176215,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063906,
326,Laurel Garage (southbound),28.0664449,-82.4177071,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,454063903,
327,P&R Lot 43 Main (eastbound),28.0677285,-82.4160802,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,454063911,
328,P&R Lot 43 Main (westbound),28.0679291,-82.4165168,FALSE,TRUE,FALSE,A,TRUE,TRUE,FALSE,FALSE,454063912,
329,Lot 44,28.0676002,-82.4148343,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,552602135,
330,Park N Ride 43 East,28.0677897,-82.4146456,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,454063909,
340,Westside Conference,28.0668475,-82.4241032,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,1029714066,
342,COPH,28.0672309,-82.4249241,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1055700574,
344,Continuing Ed,28.0679783,-82.4253294,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,743561913,
346,Chiles Center / FMHI,28.0687546,-82.4233954,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,743557416,
401,Marshall Student Center (transfer),28.0642789,-82.4136326,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,454063916,
410,North Palm,28.0684296,-82.4130665,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,456529956,
411,Palm & Laurel,28.0678963,-82.4133332,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,655288739,
413,Credit Union (southbound),28.0671748,-82.4133054,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,454063915,
414,Andros,28.0671289,-82.4131028,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,661059668,
418,Epsilon Hall,28.065806,-82.4120271,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,454063919,
421,Holly Apartments (eastbound),28.065608,-82.4112482,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,454063920,
425,Maple Suites,28.0656169,-82.409479,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,653972360,this location IS correct BR PDF shows it a bit east of actual location
426,Cypress Hall,28.0658117,-82.4098152,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,663479688,this location IS correct BR PDF shows it east of actual location
430,Cypress Apartments,28.0665471,-82.4080208,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,454063850,
445,Lot 35 (eastbound),28.065666,-82.4075048,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,454063849,
446,Greek Park (westbound),28.065795,-82.4074325,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,454063847,
700,Fountainwood Apartments,28.0570359,-82.428133,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,455032070,
701,University Collection I,28.0569208,-82.4280875,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1029723352,
708,U. Mall to ADM,28.0586819,-82.4348681,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,1056814287,
709,U. Mall to MSC,28.0586629,-82.4350451,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,455005586,
712,University Club to MSC,28.0615659,-82.434495,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,828179243,
713,University Club to ADM,28.0612988,-82.4346213,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,828178924,
715,UATC (HART Transfer) to MSC,28.0668539,-82.4294859,FALSE,FALSE,TRUE,Ye,TRUE,FALSE,FALSE,TRUE,828198460,confirm in field whether this is the correct stop may be 828188520 instead can't tell from diagram
716,UATC (HART Transfer) to ADM,28.0654748,-82.4299811,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,1056832298,
801,Rocky's,28.0723004,-82.409827,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,456529952,
803,Fairway One,28.0749735,-82.4098576,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,456529954,
807,The Claw,28.0770798,-82.4099381,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,456529953,
813,Oak Ramble,28.0804497,-82.4113221,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,456529256,
815,Skipper I,28.0804166,-82.4126525,FALSE,TRUE,FALSE,B,FALSE,FALSE,FALSE,FALSE,456529255,
821,Willow Brooke,28.0782938,-82.414168,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,828182085,
827,Cambridgewoods Drive,28.076159,-82.4141341,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,828182097,confirmed but Bull Runner sign has number 823 which does not exist in this file and name listed for this stop is consistent with 821
829,Sterling 42nd Street,28.0720765,-82.4140796,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,828196741,confirmed
