shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,28.0600353,-82.4133385,166
3,28.059952,-82.4133385,167
3,28.0590457,-82.4133454,168
3,28.0573561,-82.4133319,169
3,28.0572235,-82.4133327,170
3,28.0572224,-82.4134684,171
3,28.0572531,-82.4140533,172
3,28.0572966,-82.4143149,173
3,28.057381,-82.414652,174
3,28.0575265,-82.415002,175
3,28.0575568,-82.4150706,176
3,28.0577023,-82.4154056,177
3,28.0578225,-82.4156875,178
3,28.0578742,-82.4158128,179
3,28.0578967,-82.4158758,180
3,28.057928,-82.4159633,181
3,28.0579509,-82.4160942,182
3,28.0579719,-82.416124,183
3,28.0580181,-82.4163535,184
3,28.0580377,-82.4165384,185
3,28.0580467,-82.416623,186
3,28.0580636,-82.4167827,187
3,28.0580899,-82.417233,188
3,28.0580861,-82.4176277,189
3,28.0580866,-82.4176938,190
3,28.0580899,-82.4178167,191
3,28.0580775,-82.4180747,192
3,28.058092,-82.4197684,193
3,28.0580938,-82.4199318,194
3,28.0580899,-82.4200569,195
3,28.0580922,-82.4208818,196
3,28.0580929,-82.4213805,197
3,28.0580755,-82.4215321,198
3,28.0580952,-82.4229479,199
3,28.0580043,-82.4229479,200
3,28.05785,-82.4229735,201
3,28.0572075,-82.4229624,202
3,28.0571242,-82.4229538,203
3,28.0570485,-82.4229881,204
3,28.0569954,-82.4230911,205
3,28.0569879,-82.4231855,206
3,28.0569817,-82.4250486,207
3,28.0569698,-82.4258613,208
3,28.0569746,-82.425982,209
3,28.0569982,-82.4261751,210
3,28.0569982,-82.426843,211
3,28.0569888,-82.427071,212
3,28.0569678,-82.4275795,213
3,28.0569653,-82.4280627,214
3,28.0569659,-82.428133,215
3,28.056957,-82.4296525,216
3,28.0569579,-82.4305648,217
3,28.057579,-82.4305648,218
3,28.057988,-82.4305734,219
3,28.0583317,-82.4311714,220
3,28.058366,-82.431232,221
3,28.058706,-82.432098,222
3,28.0588254,-82.4324916,223
3,28.0587524,-82.4325696,224
3,28.0586975,-82.4326606,225
3,28.0586975,-82.4330871,226
3,28.0587094,-82.433476,227
3,28.0587023,-82.4335833,228
3,28.0586313,-82.4336933,229
3,28.0585958,-82.4337871,230
3,28.058636,-82.4338595,231
3,28.0591899,-82.4338542,232
3,28.0591946,-82.4356322,233
3,28.058729,-82.435638,234
3,28.0587236,-82.4349378,235
3,28.0586819,-82.4347481,236
3,28.0579614,-82.4349324,237
3,28.0579661,-82.4357693,238
3,28.0579022,-82.4358202,239
3,28.0578596,-82.4358632,240
3,28.0575922,-82.4358578,241
3,28.0575803,-82.4360831,242
3,28.0575141,-82.4361958,243
3,28.057507,-82.4377809,244
3,28.058117,-82.4377703,245
3,28.058121,-82.437442,246
3,28.058161,-82.437096,247
3,28.0586335,-82.4360896,248
