Number,Name,lat,Latitude,lon,Longitude,OSM Node ID,A_Sequence,B_Sequence,C_Sequence,D_Sequence,E_Sequence,F_Sequence,Comment,,,
430,Cypress Apartments,28.0665471,,-82.4080208,,454063850,20,,,,5,,,,,
445,Lot 35 (eastbound),28.065666,,-82.4075048,,454063849,,,,,6,4,,,,
446,Greek Park (westbound),28.065795,,-82.4074325,,454063847,19,,,,4,29,,,,
700,Fountainwood Apartments,28.0570359,,-82.428133,,455032070,,,,23,,,,,,
701,University Collection I,28.0569208,,-82.4280875,,1029723352,,,,12,,,,,,
708,U. Mall to ADM,28.0586819,,-82.4348681,,1056814287,,,,11,,,,,,
709,U. Mall to MSC,28.0586629,,-82.4350451,,455005586,,,,24,,,,,,
712,University Club to MSC,28.0615659,,-82.434495,,828179243,,,,25,,,,,,
713,University Club to ADM,28.0612988,,-82.4346213,,828178924,,,,10,,,,,,
715,UATC (HART Transfer) to MSC,28.0668539,,-82.4294859,,828198460,,,,26,,,,,,
716,UATC (HART Transfer) to ADM,28.0654748,,-82.4299811,,1056832298,,,,9,,,,,,
801,Rocky's,28.0723004,,-82.409827,,456529952,,,19,,,,,,,
803,Fairway One,28.0749735,,-82.4098576,,456529954,,,20,,,,,,,
807,The Claw,28.0770798,,-82.4099381,,456529953,,,21,,,,,,,
813,Oak Ramble,28.0804497,,-82.4113221,,456529256,,,22,,,,,,,
815,Skipper I,28.0804166,,-82.4126525,,456529255,,,23,,,,,,,
821,Willow Brooke,28.0782938,,-82.414168,,828182085,,,24,,,,,,,
827,Cambridgewoods Drive,28.076159,,-82.4141341,,828182097,,,25,,,,,,,
829,Sterling 42nd Street,28.0720765,,-82.4140796,,828196741,,,26,,,,,,,
11903,Holly Drive @ 50th (eastbound),28.0662779,,-82.402486,,652203688,,,,,,5,No ID tag,assigned reasonable dummy,,collocated w HART
905,Bordeaux Village (southbound),28.0634724,,-82.4019839,,739086092,,,,,,6,No ID tag,used number from BullTracker,,collocated w HART
911,Sunridge Condos (southbound),28.059304,,-82.4019447,,739086088,,,,,,7,No ID tag,used number from BullTracker,,collocated w HART
526,MOSI parking,28.0532267,,-82.4018095,,1399137924,,,,,,8,has ID tag,,,
520,Whiteway & 50th to ADM,28.0481965,,-82.4018122,,1399137933,,,,,,9,has ID tag,,,
518,Woodmere to ADM,28.0437177,,-82.4037863,,1399137932,,,,,,10,has ID tag,,,
514,Connechusett to ADM,28.0437414,,-82.4083997,,1399137931,,,,,,11,has ID tag,,,
510,Bougainvillea near 40th (westbound),28.0436552,,-82.4140997,,1399137928,,,,,,12,has ID tag,,,
508,Province S (northbound),28.0443471,,-82.4160499,,828182944,,,,,,13,No ID tag,used number from BullTracker,,collocated w HART
504,Province N (northbound),28.050535,,-82.4160767,,828181826,,,,,,14,No ID tag,used number from BullTracker,,collocated w HART
502,40th & Fowler (northbound),28.0535886,,-82.4160526,,828182943,,,,,,15,No ID tag,used number from BullTracker,,collocated w HART
501,40th & Fowler (southbound),28.053456,,-82.4164415,,828181821,,,,,,18,No ID tag,used number from BullTracker,,collocated w HART
503,Province N (southbound),28.0509138,,-82.4164844,,828181818,,,,,,19,No ID tag,used number from BullTracker,,collocated w HART
505,Province S (southbound),28.0466484,,-82.4164839,,1399137927,,,,,,20,has ID tag,,,
511,Bougainvillea near 40th (eastbound),28.0435092,,-82.4135713,,1399137925,,,,,,21,has ID tag,,,
514,Connechusett to MSC,28.0437414,,-82.4083997,,1399137931,,,,,,22,"no sign this side of road, use stop on north side",,,
518,Woodmere to MSC,28.0437177,,-82.4037863,,1399137932,,,,,,23,"no sign this side of road, use stop on north side",,,
521,Whteway & 50th to MSC,28.0481539,,-82.4015547,,1399137929,,,,,,24,has ID tag,,,
527,MOSI parking (northbound),28.0532267,,-82.4018095,,1399137924,,,,,,25,"ambiguous location, use stop on west side",,,
912,Sunridge Condos (northbound),28.0592351,,-82.4016624,,739086089,,,,,,26,No ID tag,used number from BullTracker,,collocated w HART
906,Bordeaux Village (northbound),28.0634675,,-82.4017881,,739086091,,,,,,27,No ID tag,used number from BullTracker,,collocated w HART
904,50th Street @ Holly Drive,28.0662359,,-82.4017507,,742892524,,,,,,28,No ID tag,used number from BullTracker,,collocated w HART
