Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
213,The Lakes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,28.0612476,-82.4194079,454063884,
226,Eye Institute II,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0649089,-82.4190230,454063890,
225,Eye Institute I,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0650164,-82.4188763,454063893,
311,Moffit Research,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0660137,-82.4191236,454063895,
312,Morsani Center (westbound),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0661462,-82.4192041,454063897,
305,Lot 9C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0654260,-82.4179792,454063901,
326,Laurel Garage (southbound),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0664449,-82.4177071,454063903,
325,Laurel Garage (northbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0664358,-82.4176215,454063906,
330,Park N Ride 43 East,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0677897,-82.4146456,454063909,
327,P&R Lot 43 Main (eastbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0677285,-82.4160802,454063911,
328,P&R Lot 43 Main (westbound),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,TRUE,FALSE,FALSE,28.0679291,-82.4165168,454063912,
413,Credit Union (southbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0671748,-82.4133054,454063915,
401,Marshall Student Center (transfer),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0642789,-82.4136326,454063916,
418,Epsilon Hall,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,28.0658060,-82.4120271,454063919,
421,Holly Apartments (eastbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,28.0656080,-82.4112482,454063920,
425,Maple Suites,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,28.0656169,-82.4094790,653972360,this location IS correct BR PDF shows it a bit east of actual location
320,Health Science Clinics (eastbound),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No,TRUE,FALSE,FALSE,TRUE,28.0656649,-82.4247330,824795217,
319,Children's Medical Services,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0660221,-82.4245398,824795218,
316,Holly at Cypress,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0661098,-82.4235501,824795219,
116,Tennis Courts,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,TRUE,FALSE,28.0647717,-82.4079661,617066622,
115,Maple & Holly,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,TRUE,FALSE,FALSE,28.0649816,-82.4082539,617066627,
346,Chiles Center / FMHI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0687546,-82.4233954,743557416,
344,Continuing Ed,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0679783,-82.4253294,743561913,
329,Lot 44,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0676002,-82.4148343,552602135,
120,CW Young Hall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0611956,-82.4085717,573393331,
709,U. Mall to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0586629,-82.4350451,455005586,
700,Fountainwood Apartments,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0570359,-82.4281330,455032070,
313,Mofitt Tower (eastbound),FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0660043,-82.4208696,798636994,
314,Social Work Center (westbound),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,28.0661368,-82.4209448,798637002,
340,Westside Conference,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0668475,-82.4241032,1029714066,
317,College of Nursing,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0643901,-82.4238254,1029714071,
701,University Collection I,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0569208,-82.4280875,1029723352,
301,Theater,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,28.0647892,-82.4146675,655174250,
302,Post Office,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0650233,-82.4142865,655174252,
411,Palm & Laurel,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,28.0678963,-82.4133332,655288739,
426,Cypress Hall,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,28.0658117,-82.4098152,663479688,this location IS correct BR PDF shows it east of actual location
125,Business 1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0582230,-82.4088252,456523861,
126,Sun Dome West,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0582912,-82.4085935,456523864,
122,Rec Center,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0600642,-82.4086330,456523866,
121,Cooper Hall,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0601637,-82.4088376,456523869,
119,SOC/HMS,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0613281,-82.4088507,456526021,
815,Skipper I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,FALSE,FALSE,28.0804166,-82.4126525,456529255,
813,Oak Ramble,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0804497,-82.4113221,456529256,
801,Rocky's,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,28.0723004,-82.4098270,456529952,
807,The Claw,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0770798,-82.4099381,456529953,
803,Fairway One,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0749735,-82.4098576,456529954,
410,North Palm,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0684296,-82.4130665,456529956,
240,Botanical Garden to Mall/MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0578500,-82.4230895,456546513,
241,Botanical Garden to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0578407,-82.4228062,456546518,
209,Science Center,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0603432,-82.4176764,1041573056,
214,Juniper-Poplar,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0601447,-82.4177718,1041573063,
304,Parking & Transportation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0650025,-82.4165440,614927951,
303,Fine Arts Studio,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,28.0648208,-82.4163448,614943558,
306,Central Receiving,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0655001,-82.4177664,614968216,
238,47T east,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0579898,-82.4215107,1055080239,
239,47T west,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,28.0581555,-82.4215321,1055080251,
221,PCD I,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0638645,-82.4189210,1055102500,
222,PCD II,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0638645,-82.4189853,1055102515,
315,Holly at USF Health Drive,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,28.0659877,-82.4233507,1055308052,
342,COPH,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,28.0672309,-82.4249241,1055700574,
