shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,28.0642789,-82.4137326,0
1,28.0642875,-82.4137242,1
1,28.0643834,-82.4137725,2
1,28.0644567,-82.4138476,3
1,28.0644665,-82.413914,4
1,28.0648118,-82.4138993,5
1,28.0648964,-82.4138957,6
1,28.0648889,-82.4134065,7
1,28.064918,-82.413326,8
1,28.0649722,-82.4132434,9
1,28.0650555,-82.4132176,10
1,28.065154,-82.4132176,11
1,28.0656663,-82.4132162,12
1,28.065742,-82.4132162,13
1,28.0658358,-82.413212,14
1,28.0663121,-82.4132133,15
1,28.0665871,-82.4132141,16
1,28.066976,-82.4132153,17
1,28.0670641,-82.4132129,18
1,28.0671489,-82.4132128,19
1,28.06713,-82.4132128,20
1,28.0675549,-82.4132121,21
1,28.0676727,-82.4132114,22
1,28.0676722,-82.4133495,23
1,28.06767,-82.4140081,24
1,28.0676775,-82.4143085,25
1,28.0676776,-82.4143857,26
1,28.0676897,-82.4146456,27
1,28.0676791,-82.4147428,28
1,28.0676795,-82.4148447,29
1,28.0676801,-82.4149951,30
1,28.0676811,-82.4152242,31
1,28.067703,-82.4153743,32
1,28.0677333,-82.4154773,33
1,28.067809,-82.4157262,34
1,28.0678166,-82.4158035,35
1,28.0678242,-82.4158893,36
1,28.0678242,-82.4159779,37
1,28.0678191,-82.4165168,38
1,28.0678242,-82.416505,39
1,28.0678242,-82.416859,40
1,28.0678242,-82.4171367,41
1,28.0678242,-82.4172884,42
1,28.0678021,-82.4175662,43
1,28.0677636,-82.4176574,44
1,28.0677081,-82.4177442,45
1,28.0674227,-82.4179031,46
1,28.0673476,-82.4177824,47
1,28.0672643,-82.417688,48
1,28.0671749,-82.4176559,49
1,28.0671039,-82.4176547,50
1,28.0668531,-82.4176505,51
1,28.0666637,-82.417677,52
1,28.0664449,-82.4176871,53
1,28.0664176,-82.41768,54
1,28.0659939,-82.4176826,55
1,28.0659489,-82.4176612,56
1,28.0658992,-82.4176103,57
1,28.0658211,-82.4175969,58
1,28.0658117,-82.4176132,59
1,28.0656609,-82.4178752,60
1,28.0656069,-82.417969,61
1,28.0656733,-82.4180179,62
1,28.065794,-82.418131,63
1,28.0659232,-82.4183612,64
1,28.0659914,-82.4185415,65
1,28.0660141,-82.418696,66
1,28.0660191,-82.4188595,67
1,28.0660217,-82.4189449,68
1,28.066025,-82.4190574,69
1,28.0660337,-82.4191236,70
1,28.0660362,-82.4192041,71
1,28.0660247,-82.4203542,72
1,28.0660217,-82.4204813,73
1,28.0660226,-82.420628,74
1,28.0660268,-82.4209148,75
1,28.0660401,-82.4236032,76
1,28.0654352,-82.4235904,77
1,28.065246,-82.4235956,78
1,28.0652006,-82.4235969,79
1,28.0651247,-82.423599,80
1,28.0648899,-82.4235646,81
1,28.0646248,-82.4235664,82
1,28.064232,-82.423569,83
1,28.0642083,-82.4236419,84
1,28.0642083,-82.4237363,85
1,28.064284,-82.4237792,86
1,28.0643522,-82.4237535,87
1,28.0643601,-82.4237654,88
1,28.0646348,-82.4235664,89
1,28.0648999,-82.4235646,90
1,28.0651347,-82.423599,91
1,28.0652106,-82.4235969,92
1,28.065256,-82.4235956,93
1,28.0654452,-82.4235904,94
1,28.0660501,-82.4236032,95
1,28.066228,-82.4236154,96
1,28.0662825,-82.4236117,97
1,28.0663431,-82.4235805,98
1,28.0664098,-82.4235295,99
1,28.0664946,-82.4235032,100
1,28.0665627,-82.4235259,101
1,28.0666157,-82.4235633,102
1,28.0666763,-82.4235977,103
1,28.0667824,-82.4236234,104
1,28.066797,-82.4237281,105
1,28.0668051,-82.4237865,106
1,28.0668127,-82.4239066,107
1,28.0668127,-82.4240096,108
1,28.0667961,-82.4240703,109
1,28.0668015,-82.4240932,110
1,28.0667799,-82.4241645,111
1,28.066756,-82.424304,112
1,28.0667506,-82.4243535,113
1,28.0667658,-82.4244136,114
1,28.0668112,-82.4245423,115
1,28.066884,-82.424711,116
1,28.067104,-82.424858,117
1,28.0671909,-82.4249941,118
1,28.0673111,-82.4250831,119
1,28.0673868,-82.4251603,120
1,28.0674095,-82.4252461,121
1,28.0674247,-82.4254607,122
1,28.0675837,-82.4254584,123
1,28.0679783,-82.4254334,124
1,28.0686061,-82.4254436,125
1,28.0686003,-82.4243449,126
1,28.0686,-82.4242843,127
1,28.0686038,-82.4242074,128
1,28.0686076,-82.4241298,129
1,28.0686531,-82.4239925,130
1,28.0687212,-82.4238981,131
1,28.0687667,-82.4237865,132
1,28.0687894,-82.4236406,133
1,28.0687963,-82.423529,134
1,28.068804,-82.423406,135
