shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5,28.0642875,-82.4137242,0,null
5,28.0643834,-82.4137725,1,null
5,28.0644567,-82.4138476,2,null
5,28.0644665,-82.4139140,3,null
5,28.0648184,-82.4139041,4,null
5,28.0648968,-82.4139029,5,null
5,28.0648889,-82.4134065,6,null
5,28.0649180,-82.4133260,7,null
5,28.0649722,-82.4132434,8,null
5,28.0650555,-82.4132176,9,null
5,28.0651540,-82.4132176,10,null
5,28.0656663,-82.4132162,11,null
5,28.0656648,-82.4131127,12,null
5,28.0656587,-82.4125296,13,null
5,28.0656655,-82.4117882,14,null
5,28.0656669,-82.4117171,15,null
5,28.0657335,-82.4114205,16,null
5,28.0657109,-82.4107053,17,null
5,28.0657109,-82.4106221,18,null
5,28.0657114,-82.4093393,19,null
5,28.0657118,-82.4092181,20,null
5,28.0657113,-82.4082893,21,null
5,28.0657111,-82.4080873,22,null
5,28.0657080,-82.4079204,23,null
5,28.0657095,-82.4073893,24,null
5,28.0657098,-82.4072595,25,null
5,28.0657092,-82.4069135,26,null
5,28.0657026,-82.4059338,27,null
5,28.0657010,-82.4056975,28,null
5,28.0657086,-82.4055516,29,null
5,28.0657313,-82.4052426,30,null
5,28.0657826,-82.4049209,31,null
5,28.0658584,-82.4046119,32,null
5,28.0659845,-82.4041464,33,null
5,28.0662330,-82.4034030,34,null
5,28.0663390,-82.4027670,35,null
5,28.0663456,-82.4025129,36,null
5,28.0663490,-82.4023820,37,null
5,28.0663560,-82.4021040,38,null
5,28.0663751,-82.4018765,39,null
5,28.0662739,-82.4018732,40,null
5,28.0645456,-82.4018682,41,null
5,28.0637752,-82.4018639,42,null
5,28.0634250,-82.4018635,43,null
5,28.0630739,-82.4018655,44,null
5,28.0603659,-82.4018620,45,null
5,28.0597635,-82.4018524,46,null
5,28.0593579,-82.4018484,47,null
5,28.0592460,-82.4018452,48,null
5,28.0582170,-82.4018159,49,null
5,28.0572039,-82.4018072,50,null
5,28.0562310,-82.4018018,51,null
5,28.0561296,-82.4018012,52,null
5,28.0555567,-82.4018020,53,null
5,28.0545063,-82.4017942,54,null
5,28.0543500,-82.4017727,55,null
5,28.0541908,-82.4017537,56,null
5,28.0538128,-82.4017438,57,null
5,28.0534586,-82.4017345,58,null
5,28.0533803,-82.4017325,59,null
5,28.0532680,-82.4017289,60,null
5,28.0529639,-82.4017170,61,null
5,28.0519917,-82.4016808,62,null
5,28.0508049,-82.4016651,63,null
5,28.0506581,-82.4016671,64,null
5,28.0496913,-82.4016567,65,null
5,28.0494238,-82.4016637,66,null
5,28.0487610,-82.4016530,67,null
5,28.0480670,-82.4016450,68,null
5,28.0471917,-82.4016543,69,null
5,28.0463559,-82.4016551,70,null
5,28.0456514,-82.4016465,71,null
5,28.0449848,-82.4016465,72,null
5,28.0442803,-82.4016551,73,null
5,28.0435740,-82.4016780,74,null
5,28.0435790,-82.4027900,75,null
5,28.0435960,-82.4037170,76,null
5,28.0436000,-82.4044900,77,null
5,28.0435980,-82.4052530,78,null
5,28.0435991,-82.4058817,79,null
5,28.0435983,-82.4060212,80,null
5,28.0435940,-82.4067850,81,null
5,28.0435920,-82.4075520,82,null
5,28.0435890,-82.4083300,83,null
5,28.0435900,-82.4091090,84,null
5,28.0435950,-82.4099000,85,null
5,28.0435921,-82.4107332,86,null
5,28.0435933,-82.4107389,87,null
5,28.0436240,-82.4108834,88,null
5,28.0436090,-82.4127029,89,null
5,28.0435848,-82.4128441,90,null
5,28.0435797,-82.4142967,91,null
5,28.0435829,-82.4161084,92,null
5,28.0435830,-82.4161926,93,null
5,28.0437484,-82.4161942,94,null
5,28.0458122,-82.4162146,95,null
5,28.0466730,-82.4162188,96,null
5,28.0468022,-82.4162131,97,null
5,28.0490898,-82.4162096,98,null
5,28.0500247,-82.4162082,99,null
5,28.0503497,-82.4162077,100,null
5,28.0515212,-82.4161932,101,null
5,28.0526124,-82.4161840,102,null
5,28.0533017,-82.4162012,103,null
5,28.0543001,-82.4161979,104,null
5,28.0543784,-82.4161976,105,null
5,28.0543771,-82.4161378,106,null
5,28.0543737,-82.4145052,107,null
5,28.0543713,-82.4140787,108,null
5,28.0543714,-82.4133603,109,null
5,28.0543713,-82.4130863,110,null
5,28.0545566,-82.4130834,111,null
5,28.0546935,-82.4130834,112,null
5,28.0553027,-82.4130834,113,null
5,28.0555110,-82.4130834,114,null
5,28.0560297,-82.4130886,115,null
5,28.0571188,-82.4130918,116,null
5,28.0572219,-82.4130934,117,null
5,28.0573505,-82.4130950,118,null
5,28.0580326,-82.4130964,119,null
5,28.0586832,-82.4130967,120,null
5,28.0590185,-82.4130917,121,null
5,28.0593131,-82.4130902,122,null
5,28.0596764,-82.4130885,123,null
5,28.0597216,-82.4131347,124,null
5,28.0597370,-82.4131896,125,null
5,28.0597357,-82.4132616,126,null
5,28.0597098,-82.4133064,127,null
5,28.0596776,-82.4133430,128,null
5,28.0593155,-82.4133456,129,null
5,28.0590457,-82.4133454,130,null
5,28.0586078,-82.4133416,131,null
5,28.0573476,-82.4133337,132,null
5,28.0572235,-82.4133327,133,null
5,28.0571262,-82.4133335,134,null
5,28.0559730,-82.4133494,135,null
5,28.0546987,-82.4133591,136,null
5,28.0545527,-82.4133602,137,null
5,28.0545562,-82.4160970,138,null
5,28.0545564,-82.4161818,139,null
5,28.0545624,-82.4163280,140,null
5,28.0543784,-82.4163183,141,null
5,28.0542970,-82.4163213,142,null
5,28.0530924,-82.4163299,143,null
5,28.0525969,-82.4163128,144,null
5,28.0522109,-82.4163089,145,null
5,28.0515216,-82.4163136,146,null
5,28.0503520,-82.4163216,147,null
5,28.0500294,-82.4163255,148,null
5,28.0490901,-82.4163323,149,null
5,28.0477745,-82.4163418,150,null
5,28.0468024,-82.4163489,151,null
5,28.0466784,-82.4163558,152,null
5,28.0458488,-82.4163573,153,null
5,28.0457277,-82.4163467,154,null
5,28.0437531,-82.4163393,155,null
5,28.0435830,-82.4163385,156,null
5,28.0435830,-82.4161926,157,null
5,28.0435829,-82.4161084,158,null
5,28.0435797,-82.4142967,159,null
5,28.0435848,-82.4128441,160,null
5,28.0435529,-82.4127013,161,null
5,28.0435600,-82.4109203,162,null
5,28.0435933,-82.4107389,163,null
5,28.0435921,-82.4107332,164,null
5,28.0435950,-82.4099000,165,null
5,28.0435900,-82.4091090,166,null
5,28.0435890,-82.4083300,167,null
5,28.0435920,-82.4075520,168,null
