Number,Name,,A,B,C,D,E,Latitude,Longitude,OSM Node ID,A_Sequence,B_Sequence,C_Sequence,D_Sequence,E_Sequence
701,University Collection I,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0569208,-82.4280875,1029723352,,,,12,
708,U. Mall to ADM,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0586819,-82.4348681,1056814287,,,,11,
709,U. Mall to MSC,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0586629,-82.4350451,455005586,,,,24,
712,University Club to MSC,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0615659,-82.434495,828179243,,,,25,
713,University Club to ADM,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0612988,-82.4346213,828178924,,,,10,
715,UATC (HART Transfer) to MSC,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0668539,-82.4294859,828198460,,,,26,
716,UATC (HART Transfer) to ADM,,FALSE,FALSE,FALSE,TRUE,FALSE,28.0654748,-82.4299811,1056832298,,,,9,
801,Rocky's,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0723004,-82.409827,456529952,,,19,,
803,Fairway One,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0749735,-82.4098576,456529954,,,20,,
807,The Claw,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0770798,-82.4099381,456529953,,,21,,
813,Oak Ramble,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0804497,-82.4113221,456529256,,,22,,
815,Skipper I,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0804166,-82.4126525,456529255,,,23,,
821,Willow Brooke,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0782938,-82.414168,828182085,,,24,,
827,Cambridgewoods Drive,,FALSE,FALSE,TRUE,FALSE,FALSE,28.076159,-82.4141341,828182097,,,25,,
829,Sterling 42nd Street,,FALSE,FALSE,TRUE,FALSE,FALSE,28.0720765,-82.4140796,828196741,,,26,,
