Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
240,Botanical Garden to Mall/MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,456546513,
241,Botanical Garden to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,456546518,
301,Theater,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,,,655174250,
302,Post Office,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,655174252,
303,Fine Arts Studio,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,614943558,
304,Parking & Transportation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,614927951,
305,Lot 9C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,454063901,
306,Central Receiving,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,614968216,
311,Moffit Research,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063895,
312,Morsani Center (westbound),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,454063897,
313,Mofitt Tower (eastbound),FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,,,798636994,
314,Social Work Center (westbound),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,,,798637002,
